አለ(0)	ተናገረ፣አወራ 
አለ(1)	አንድ ነገር መኖሩን ወይም መገኝቱን ያመለክታል፡፡

በራ(0)	ፈካ፣ወገግ አለ ብርሃን ሰጠ፤ደመቀ እንደማለት ነው፡፡
በራ(1)	መላጣ፣ እራሰ በርሃ እንደማለት ነው፡፡

ቀን(0)	የቀናት አቆጣጠር እንደመግለፅ ነው ለምሳሌ መስከረም 1፡፡
ቀን(1)	ብርሃን፤የምሽት ተቃራኒ ማለት ነው፡፡

ወጡ(0)	የሚበላ ወጥ እንደማለት ነው፡፡
ውጡ(1)	ከገቡበት ወጡ፤መውጣት።
  
መቻሉ(0)	ቻለ፣ሆደ ሰፊ መሆንን ያመልክታል፡፡
መቻሉ(1) 	ሊሆን ወይም ሊደረግ የሚችል ነገር፡፡

ጥሩ(1) 	መልካም ነገር
ጥሩ(1) 	መጥራት ወይም መጥቀስ።
 
በላ(0) 	አበሳ፣እዳ።
በላ(1) 	ተመገበ።

በሉ(0) 	ተናገሩ፣አውሩ።
በሉ(1)	በሉ፣ተመገቡ።

ስሜ(0) 	የአንድ ሰው መጠሪያ ስም።
ስሜ(1) 	መሳም።

አገባ(0) 	ጎል አገባ።
አገባ(1) 	ትዳር ያዘ።

ለማ(0)	የሰው ስም ሊሆን ይችላል።
ለማ(1)	አፈሩ ለማ ጸደቀ።

ተጣራ(0)	ጮክ ብሎ የሰው ስም ተጣራ እንደማለት ነው፡፡
ተጣራ(1)	ንፁ ሆነ፤ከቆሻሻ የፀዳ ሆነ።

ገፋፊ(0) 	የሚያስደነግጥ።
ገፋፊ(1) 	የሚልጥ፤ቆዳ የሚያነሳ።

እንስራ(0) 	ከሸክላ የሚሰራ ውሃ መቅጃ፣ገንቦ፣ማሰሮ።
እንስራ(1) 	ስራ መስራት።

አማት(0) 	ባለቤቱ በሌለበት ስለሱ ማውራት፣ማማት።
አማት(1) 	የሴት ልጅ ባል።

ምራት(0) 	ከፊት ሆኖ የማያይን ሰው መምራት እንደማለት ነው፡፡
ምራት(1) 	የልጅ ሚስት።

ጠላ(0)	በህላዊ የመጠጥ አይነት ነው።
ጠላ(1)	አለመውደድ እንደማለት ነው።

መማር(0)	ዕውቀት መገብየት።
መማር(1)	ይቅርታ ማድረግ።

አረገ(0)	ድርጊት ማድረን ይገልፃል		
አርገ(1)	ወደ ሰማይ ሄደ 

መባረክ(0)	በረከት መስጠት
መባረክ(1)	በረከት ማግኘት፣መቀደስ

አያት(0)	ተመለከታት፤መመልክትን ለመግለፅ ነው።
አያት(1)	የእናት ወይም የአባት አባት።

ልበላ(0)	መበላት፣መሸወድ።
ልበላ(1)	ልመገብ ምግብ ልበላ።

ገባ(0) 	ወጣ ገባ፣ እሰጣ ገባ፣ ገባ መንገዱ።
ገባ(1)	ዘልቆ መግባት።

የሚጣሉ(0)	የማያስፈልጉ፣የሚጣሉ ነገሮችን ያመለክታል።
የሚጣሉ(1)	ፀብ የሚፈጥሩ፣ የማይስማሙ።

ይመታል(0)	ጥቃት ያደርሳል።
ይመታል(1)	አንድ ነገር ላይ  ጥቃት ሲደርስበት።

ይናፍቃል(0)	ያሰኛል፣ይፈልጋል	
ይናፍቃል(1)	ቶሎ ቶሎ ይፈለጋል ፣ይወደዳል።

ቁላ(0)	ቡና መቁላት፣ ጥራጥሬ መቁላጥ።
ቁላ(1)	በሳይንሳዊ አጠራር ብልት ማለት ነው።

ጥላ(0)	ከለላ።
ጥላ(1)	ረስቶ መሄድ ወይም ትቶ እንደመሄድ ይገለፃል።

ቁርጥ(0)	በተለምዶ የሚበላ የስጋ ቁርጥ ለመግለፅ ይሆናል።
ቁርጥ(1)	በትክክል መልክ ለማመሳሰል ፣ አንድ ነገርን መቁረጥ ሊሆን ይችላል።

የሚሰራላቸው(0)	የሚያደረግላቸው፤ሊሰራ የሚችል ነገር።
የሚሰራላቸው(1)	የሚደረግላቸው	፤አገልግሎት የሚሰጣቸው እንደማለት ነው።

አዳኝህ(0)	ፈዋሽ እንደማለት ነው።
አዳኝህ(1)	ጠላት፣የሚያሳድድ።

ይጣላል(0)	ረብሻ ይፈጥራል።
